S.NO,Question,Answer,Entity Extraction by human,(Fact or Claim) Extraction by human,Answer 1 ->  Answer 2 ,Answer 2 -> Answer 1,Answer 1 ->  Answer 3 ,Answer 3 ->  Answer 1 ,Answer 2 ->  Answer 3 ,Answer 3 ->  Answer 2 
9,"Hello, I am seeking legal advice on domicile rules, basically my father have applied for DSNLU Andhra Pradesh under domicile category without reading the rules and I have got allotted a seat in Category of Andhra Pradesh/Children of Armed Personnel (CAP) of Andhra Pradesh,Women of Andhra Pradesh. I am not sure what all documents are required as I have been living in Delhi and noida and never lived in AP for 7 years but my parents have and also have the permanent residency will that suffice or will I not get the domicile certificate?( Noida, Uttar Pradesh )","Dear Sir,Better you may contact local Advocate having vast experience in respect of subject matter in which you are seeking legal advise. Better take all your documents and explain the background to the local advocate and get effective legal advise.",local Advocate,contact local advocate | take all your documents ,"Precision: 0.0
Recall: 0.0
F1-Score: 0.0","Precision: 0.0
Recall: 0.0
F1-Score: 0.0",,,,
,,"Dear Client,To be eligible for a domicile certificate in Andhra Pradesh, you must be a permanent resident of the state and have resided there for at least seven years. If you are not originally from Andhra Pradesh but are married to a permanent resident, you are also eligible. Additionally, you may be eligible if your parents are permanent residents of the state or if you have property in the state. Your name should be on the voter list of Andhra Pradesh. To apply for a domicile certificate, you have to fill in a prescribed form available from the local revenue office or download it online. enclosing therewith proof of address, such as a passport, voter card, ration card, electricity bill, water bill, telephone bill, or house tax receipt. Visit your local Tehsildar or Mandal Revenue Office (MRO) and submit the application form along with the required documents. A fee of Rs 25 is levied for the issue of a domicile certificate. Once the authority verifies your application, a domicile certificate will be issued to you. You may also apply for a domicile certificate online by logging the official website of the AP Government, MeeSeva. When your parents are permanent residents and hold residential property in Andhra Pradesh for 7 years or more, you can apply for a domicile certificate. For more information and clarification, you may contact the concerned Tehsildar or Mandal Revenue Office.",Domicile certificate | Andhra Pradesh | local revenue officer | passport| voter id | ration card | local tehsildar | Mandal Revenue Officer (MRO) | Mee Seva | ,permanant resident of the state | atleast 7 years | married to a permanant resident | parents are permanant residents | property in the state | name should be in voters list | free of rs 25 | can also apply online | ,,,,,,
10,"Can my child ( under 18) get domicile certificate in maharashtra if parents ( alongwith child) are staying in Maharashtra staying for more then 6 years. ( I see this in clear tax but no othe website) Where is the document of Govt of Maharashtra where domicile requiremet is defined ? Very urgent clarification required for MHT CET admission purpose. Thx in advance.( Pune, Maharashtra )","Dear Sir,You have to contact local lawyers or concerned legal experts or search online to get the definition of ""Domicile"". Some States defined it for five years and other States defined it for seven years. Anyway you may get an opportunity since you have already completed six years in Maharashtra.",Local lawyers | Domicile,contact local lawyers | search online | some states define for 5 years | others define for 7 years | you may get an oppurtunity,"Precision: 0.09
Recall: 0.14
F1-Score: 0.11","Precision: 0.14
Recall: 0.09
F1-Score: 0.11",,,,
,,"Dear Client,A domicile certificate or a residential certificate is compulsory for MHT CET admission, especially for students seeking admission to Maharashtra State-based colleges. It's used to determine if a candidate is eligible for the Maharashtra state quota and any associated benefits. Any person from the State of Maharashtra could obtain this certificate, provided that he or she has been a resident in the State for the last 15 years. However, in a notification issued on May 13, 2013, the Director of Technical Education (DTE) has stated that the birth certificate or the school leaving certificate (SLC), which mentions the place of birth as in Maharashtra, will be accepted as an alternative to the domicile certificate to be submitted along with the admission form by the Maharashtra state candidates. For further clarification on the subject, you may contact the offices of the Sub-Divisional Magistrate, the Tehsildar’s office, and the District Collector’s office.",Director of Technical Education (DTE) | Birth Certificate | Sub divisional magistrate | Tehsildar's office | District collector's office.,domicile certificate is compulsory for MHT CET | for students seeking admission to Maharastra based colleges | candidate is eligible for Maharastra state quota | resident of state for last 15 years | certificate which says born in maharastra will be accepted as an alternative | for furthur clarrification contact offices of sub divisional magistrate ,,,,,,
,,,,,,,,,,
,,,Entity Extraction by LLM,,,,,,,
11 (Expansion),"Subject- Urgent Help Needed â€“ Apartment Maintenance Issues 
 
 I am writing to seek guidance regarding serious maintenance and financial issues in our apartment complex. 
 
 Our residential building consists of 22 flats located in Kukatpally, Hyderabad. Each flat is required to contribute â‚¹900 per month** for maintenance expenses, which cover essential services such as cleaning, security, electricity for common areas, and minor repairs. However, for the past two years, about 5-6 flat owners have not been paying their maintenance fees. This has created a financial crisis, making it extremely difficult to manage necessary upkeep. 
 
 Currently, our balance sheet shows a deficit of - â‚¹60,000 to -â‚¹90,000, meaning we are operating at a loss. Despite multiple reminders through phone calls, messages, and personal visits, these owners continue to ignore our requests. The situation is further complicated because most of these owners do not reside in the building, making communication even more challenging. 
 
 Additionally, one flat remains unoccupied, but the owner refuses to pay any maintenance charges, which adds to the financial burden on responsible residents. 
 
 Our building is 25 years old, and no major repairs have been carried out, including: 
 - Drainage pipes â€“ They have not been repaired or replaced in over two decades, leading to leaks and blockages. 
 - Exterior painting â€“ The building has never been repainted, making it look deteriorated and unmaintained. 
 
 To address these urgent repairs, we proposed that each flat contribute â‚¹13,000 for these improvements. However, only 10 flats have agreed to pay, while the remaining owners remain unresponsive. This lack of cooperation is preventing us from ensuring the safety, cleanliness, and longevity of our apartment complex. 
 
 We would appreciate your legal advice on the following concerns: 
 1. How can we ensure that all flat owners pay their maintenance fees on time? 
 2. Can legal action be taken against those who refuse to contribute? If so, what steps should we follow? 
 3. Are there any laws in Hyderabad or Telangana that mandate apartment owners to participate in maintenance costs?
 4. How can we prevent such issues in the future to ensure better cooperation among residents? 
 
 Your expert guidance will help us protect our apartment and create a fair system where every owner shares responsibility. 
 
 Looking forward to your advice. 
 Thank you.( Hyderabad, Telangana )","Dear client,Based on your situation, it's clear that your apartment complex is facing serious challenges due to non-payment of maintenance dues and a lack of cooperation from certain flat owners. Legally, under the Telangana Apartments (Promotion of Construction and Ownership) Act, 1987, all flat owners are obligated to contribute towards maintenance and common area expenses. If your Apartment Ownersâ€™ Association is registered under this Act, it has the legal authority to enforce the collection of maintenance charges and special repair contributions. You should first issue formal legal notices to the defaulting owners by registered post, demanding payment within a stipulated period. If they still fail to pay, the Association can initiate civil recovery proceedings before the local Civil Court or Small Causes Court, depending on the amount. You may also impose late payment penalties or interest as per your Associationâ€™s by-laws. While you cannot disconnect essential services like water or electricity, you can restrict access to non-essential amenities such as parking or recreation areas. In cases where an Association is not yet registered, you should prioritize its registration, as it provides the legal foundation for collaboration and enforcement of compliance. Furthermore, you can prevent future disputes by updating and strictly enforcing your bylaws, digitizing payments and financial records, holding regular general body meetings to pass resolutions on repairs, and maintaining transparency in all decisions. It is also advisable to create a sinking fund for long-term repairs. Clear communication, formal resolutions, and legal enforcement, when necessary, will help ensure that all flat owners share the financial responsibilities fairly and consistently.","non-payment of maintenance dues | lack of cooperation | Telangana Apartments (Promotion of Construction and Ownership) Act, 1987 | obligated to contribute | maintenance and common area expenses | Apartment Owners’ Association registered | enforce collection of maintenance | special repair contributions | issue formal legal notices | defaulting owners | civil recovery proceedings | Civil Court | Small Causes Court | impose late payment penalties | Association’s by-laws | cannot disconnect essential services | restrict non-essential amenities | Association not yet registered | prioritize its registration | enforcing your bylaws | general body meetings | pass resolutions | sinking fund | long-term repairs",,"Precision: 0.111
Recall: 0.125
F1-Score: 0.118","Precision: 0.125
Recall: 0.111
F1-Score: 0.118","Precision: 0.45
Recall: 0.417
F1-Score: 0.433","Precision: 0.375
Recall: 0.5
F1-Score: 0.429","Precision: 0.15
Recall: 0.111
F1-Score: 0.128","Precision: 0.111
Recall: 0.15
F1-Score: 0.128"
,,"Dear Client,These kinds of issues are common and mostly occur in standalone buildings or housing complexes that lack a registered society or association to resolve the matter, as per their bylaws. So, to resolve the issues legally, first, you need to form a society and register it under the state-specific Cooperative Societies Act. For the formation and registration of a Society under the state-specific Act, at least seven members are required. However, till the formation and registration, in the given scenario, you can escalate your grievance before the quasi-judicial authorities like the Public Grievance Cell of the District Magistrate Office, Municipal authorities, Dist. Legal Services Authority seeking their intervention to resolve the matter through a mediation process amicably for the sake of peaceful co-existence in the absence of a registered Society/RWA. Once a society is formed and registered, you can take actions against the defaulters following the provisions of the Byelaws of the Society and even by filing a money recovery suit before the jurisdictional Civil Court, serving a legal notice on behalf of the Society. The Hon'ble Supreme Court, in the case of Rasila S. Mehta vs. Custodian, Nariman Bhavan, Mumbai, decided on 6 May 2011, held that members of a society are liable to pay such dues as determined by the society towards the maintenance and upkeep of flats and common utilities, irrespective of the nature of occupancy, they must pay the maintenance charges. You may visit the office of the Registrar appointed under the state-specific Cooperative Societies Act or the competent authority appointed under the state-specific Apartment Ownership Act for the formation and registration of the Society or Association(RWA).",lack a registered society | form a society | register it | Cooperative Societies Act | at least seven members required | escalate your grievance | quasi-judicial authorities | Public Grievance Cell | District Magistrate Office | Municipal authorities | Dist. Legal Services Authority | resolve through mediation | take actions against the defaulters | Byelaws of the Society | filing a money recovery suit | jurisdictional Civil Court | serving a legal notice | Supreme Court | Rasila S. Mehta vs. Custodian | members liable to pay dues | maintenance and upkeep | must pay maintenance charges | office of the Registrar | Cooperative Societies Act | Apartment Ownership Act | competent authority | formation and registration,,,,,,,
,,"Dear Client,You are legally entitled to recover maintenance dues from defaulting flat owners under the Telangana Apartments (Promotion of Construction and Ownership) Act, 1987. This law mandates that all apartment owners must contribute toward the upkeep of common areas and essential services. To enforce payments, your association should issue formal written notices and, if necessary, send legal demand notices through a lawyer.If the dues remain unpaid, you can file a civil suit for recovery or approach the Consumer Forum for deficiency of service. To prevent such issues in the future, it is crucial to have a registered apartment association, adopt model bye-laws, and pass binding resolutions during General Body Meetings. Implementing penalties for late payments, restricting access to common facilities for defaulters, and introducing automated payment systems can further improve compliance. Transparent financial records and regular communication will help build trust and cooperation among residents, ensuring fair and sustainable management of the building.","recover maintenance dues | defaulting flat owners | Telangana Apartments (Promotion of Construction and Ownership) Act, 1987 | contribute toward upkeep | common areas | essential services | issue formal written notices | legal demand notices | file a civil suit | Consumer Forum | deficiency of service | registered apartment association | model bye-laws | binding resolutions | General Body Meetings | penalties for late payments | restricting access to common facilities | automated payment systems | Transparent financial records | regular communication",,,,,,,
12 (Expansion),"We are 3 siblings. Our mother is owner of 2 flats in Mumbai. Our mother passed away last year and she had not created a will. On both houses I'm nominated with 100% shares. We 3 siblings had some disputes on the settlement scenario and one of my siblings wasn't ready on doing family settlement agreement previously. They wanted the ownership title cleared for one of our house. So with help of the legal advisor they appointed, we were planning for release deeds however there was again some disputes and we proceeded with joint membership for one flat with 33.33% membership for each of us by submitting all forms with Indemnity bond and my elder siblings name was provided to be added first in Share certificate and the elder sibling submitted membership form as well. Now, we have finally came to alignment on settlement about release deed where my siblings will release their rights on one flat while I will release my rights on another flat. For the house where my siblings are ready to release their rights we have not yet done the procedure for membership with Indemnity bond which was done for other house. I wanted to understand following: 1. If registered release deed is done without first applying for joint membership first, would that be right approach or what is the ideal approach. 2. Since joint membership is not done for 2nd house, can we do the registered family settlement where the clause about my siblings releasing their rights in 2nd house is mentioned, in which case even if joint membership is not done, it would not be problem and society can accept the family settlement to transfer 100% shares to me and add my name to share certificate making me the owner of the flat? 3. Which would be cost efficient and affective, getting joint membership followed by both release deeds OR Registered Family settlement agreement. 4. If my sibling is insisting to keep Share certificate of house where the joint membership was done, is it fine to handover it to them without worrying about any consequences. Can they sell their 66.66% with the Share certificate in their possession? Before handing over share certificate is it ideal and legally permissible for me to submit written letter to society informing them on not processing any transfer, sale or mortgage of any portion or share of flat until they have my written consent or copy of registered release deed or family settlement agreement.( Mumbai suburban, Maharashtra )","Dear Client,Since your mother passed away without a will and you were nominated with 100% shares in both Mumbai flats, the legal ownership still vests equally among all three siblings under the Hindu Succession Act. Now that all of you have reached a mutual agreement, the most efficient and cost-effective approach would be to execute a registered family settlement deed, clearly stating that your siblings will release their rights in one flat and you will release yours in the other.This avoids the need for joint membership applications and multiple release deeds, saving time and legal costs. Societies in Mumbai generally accept such registered family settlements for updating ownership records and share certificates, even if joint membership was not done earlier. Before handing over the original share certificate of the jointly held flat to your sibling,you should submit a written letter to the society stating that no sale, transfer, or mortgage should be processed without your written consent or submission of a registered family settlement or release deed. This step protects your legal interest and ensures no unauthorized transaction occurs, as possession of the share certificate alone does not confer ownership or sale rights.","passed away without a will | nominated with 100% shares | legal ownership vests equally | three siblings | Hindu Succession Act | mutual agreement | registered family settlement deed | release their rights | joint membership applications | multiple release deeds | societies accept family settlements | updating ownership records | original share certificate | written letter to the society | no sale, transfer, or mortgage | without your written consent | protects your legal interest | no unauthorized transaction | possession does not confer ownership",,"Precision: 0.0
Recall: 0.0
F1-Score: 0.0","Precision: 0.0
Recall: 0.0
F1-Score: 0.0","Precision: 0.09
Recall: 0.263
F1-Score: 0.135","Precision: 0.211
Recall: 0.09
F1-Score: 0.127","Precision: 0.0
Recall: 0.0
F1-Score: 0.0","Precision: 0.0
Recall: 0.0
F1-Score: 0.0"
,,"Dear Sir/Madam,You have to contact an expert Advocate having office in Mumbai who is dealing with shares and debentures so that you can get effective legal advise. Better to visit his office in person with all your documents and written synopsis. ",contact expert Advocate | office in Mumbai | dealing with shares and debentures | get effective legal advise | visit office in person | all your documents | written synopsis,,,,,,,
,,"Dear Client,When flats are purchased in the joint name, a share certificate is issued by the Society in the joint name, the person whose name does not stand first in the share certificate becomes an 'Associate Member' In case of the death of the person named first in the share certificate, the Associate Member retains the right on his/her flat since his/her name exists in the Sale Deed of the flat as a joint buyer. Thus, in case of the death of any of them, the one surviving joint owner will get an absolute right to the jointly owned flat. The transfer of title or ownership of an immovable property devolves upon a person either through the law of succession post demise of the owner or through a sale deed or deed of gift, paying requisite stamp duty while the owner is alive. The nominee does not automatically become the owner of the assets but holds them in trust until the legal heirs can claim their rights. The nominee's role is essentially administrative, managing the assets until the legal process of succession is completed. Section 30 of the Maharashtra Co-operative Societies Act, 1960 states that, on the death of a member of society, the society shall transfer the share or interest of the deceased member to a person or persons nominated following the rules and by-laws. Section 30(1) of the Maharashtra Cooperative Societies Act, 1960 provides a mandate to the society for the transfer of the share or interest of the deceased member to a person or persons nominated by the deceased member or, if no person has been nominated to such person holding a Succession Certificate as may appear before the committee to be the heir or legal representative of the deceased member. Provided, such nominee, heir or legal representative, as the case may be, is duly admitted as a member of the society. Rule 25 of the MCS Rules lays down the procedure for the transfer of the shares of the deceased member either in favour of the nominee or in favour of the heir or legal representatives of the deceased owner. In Shakti Yezdani & Another vs Jayanand Jayant Salgaonkar & Others matter, the Supreme Court recently reiterated that nomination is only for convenience and doesn't override the law of succession. Thus, when the successors stake their claim to the property of the deceased, the nominee cannot decline. So, in the case of intestate succession, beneficiaries need to apply before the competent Court, praying for a Succession Certificate to make them eligible to claim a share in the property, and the right to relinquish their share in the property either through a family settlement deed or a release deed comes later. If required, consult with an Advocate experienced in the transfer of ownership of property in the cooperative societies for tailored advice and steps to resolve the issue in the right way.","flats purchased in joint name | share certificate issued in joint name | name not first... 'Associate Member' | death of person named first | Associate Member retains right | name exists in Sale Deed | surviving joint owner... absolute right | transfer of title | law of succession | sale deed | deed of gift | paying requisite stamp duty | nominee does not automatically become owner | holds them in trust | nominee's role is administrative | legal process of succession | Section 30 | Maharashtra Co-operative Societies Act, 1960 | society shall transfer share | deceased member | person or persons nominated | rules and by-laws | Section 30(1) | no person has been nominated | Succession Certificate | heir or legal representative | duly admitted as a member | Rule 25 | MCS Rules | procedure for transfer of shares | Shakti Yezdani & Another vs Jayanand Jayant Salgaonkar | Supreme Court reiterated | nomination is only for convenience | doesn't override law of succession | successors stake their claim | nominee cannot decline | intestate succession | apply before competent Court | praying for a Succession Certificate | claim a share in property | relinquish their share | family settlement deed | release deed | consult with an Advocate",,,,,,,
"13 (Expansion, Correction)","Hi sir, I am working in an organisation from past 7months in night shift. Recently I am diagnosed with a health issue, wherein the doctor advised me avoid night shift and change to day shift. I request the HR with the relevant medical advice note. But the HR denied and ask me to resign the job. What action can I take against them for forcibly asking me to resign even though I'm medically fit to work.( Bangalore, Karnataka )","Dear Client,If your employer is forcing you to resign because you are unable to work night shifts due to documented medical reasons, and you are still fit to work day shifts, you may have legal recourse.Write a formal email/letter to HR and senior management stating you are medically fit to work during the day shift. The companyâ€™s refusal to accommodate is discriminatory. You are willing to continue in the company on reasonable accommodations.However after that also you don't get any fruitful solution then you can file a complaint at your regional Labour Commissionerâ€™s Office.Consult a lawyer to draft a strong legal notice to the company.",employer forcing you to resign | unable to work night shifts | documented medical reasons | fit to work day shifts | legal recourse | formal email/letter to HR | refusal to accommodate is discriminatory | reasonable accommodations | file a complaint | Labour Commissioner’s Office | Consult a lawyer | draft a strong legal notice,,"Precision: 0.042
Recall: 0.083
F1-Score: 0.056","Precision: 0.083
Recall: 0.042
F1-Score: 0.056","Precision: 0.0
Recall: 0.0
F1-Score: 0.0","Precision: 0.0
Recall: 0.0
F1-Score: 0.0","Precision: 0.062
Recall: 0.083
F1-Score: 0.071","Precision: 0.042
Recall: 0.062
F1-Score: 0.05"
,,"Dear Sir,Dear SirPlease approach the following authority or similar authority in a stateThe Office Commissioner of LabourKarmika Bhavan, Dairy Circle,Bannerghatta Road, Bangalore-29.080-29753078[emailÂ protected]Addresses of Labor Inspectors in Bengaluru in different locationshttps://karmikaspandana.karnataka.gov.in/page/Contact+Us/Labour+Inspector/enhttps://clc.gov.in/clc/regional-offices/bangalore#:~:text=1.&text=Shram%20Sadan%2C%203rd%20Main%2C%203rd,Yeswanthpur%2C%20Bangalore%2D560022..=======================================================================Section 12 in The Industrial Disputes Act, 194712. Duties of conciliation officers.- (relevant section 12(2) of ID Act)(1) Where any industrial dispute exists or is apprehended, the conciliation officer may, or where the dispute relates to a public utility service and a notice under section 22 has been given, shall hold conciliation proceedings in the prescribed manner.(2) The conciliation officer shall, for the purpose of bringing about a settlement of the dispute, without delay, investigate the dispute and all matters affecting the merits and the right settlement thereof and may do all such things as he thinks fit for the purpose of inducing the parties to come to a fair and amicable settlement of the dispute.(3) If a settlement of the dispute or of any of the matters in dispute is arrived at in the course of the conciliation proceedings the conciliationofficer shall send a report thereof to the appropriate Government 1 or an officer authorised in this behalf by the appropriate Government] together with a memorandum of the settlement signed by the parties to the dispute.(4) If no such settlement is arrived at, the conciliation officer shall, as soon as practicable after the close of the investigation, send to the appropriate Government a full report setting forth the steps taken by him for ascertaining the facts and circumstances relating to the dispute and for bringing about a settlement thereof, together with a full statement of such facts and circumstances, and the reasons on account of which, in his opinion, a settlement could not be arrived at.(5) If, on a consideration of the report referred to in sub- section (4), the appropriate Government is satisfied that there is a case for reference to a Board, 2 Labour Court, Tribunal or National Tribunal,] it may make such reference. Where the appropriate Government does not make such a reference it shall record and communicate to the parties concerned its reasons therefor.(6) A report under this section shall be submitted within fourteen days of the commencement of the conciliation proceedings or within such shorter period as may be fixed by the appropriate Government: 3 Provided that, 4 subject to the approval of the conciliation officer,] the time for the submission of the report may be extended by such period as may be agreed upon in writing by all the parties to the dispute.]","Office Commissioner of Labour | Karmika Bhavan | Labor Inspectors in Bengaluru | Section 12 | The Industrial Disputes Act, 1947 | Duties of conciliation officers | Section 12(2) | industrial dispute exists | Section 22 | hold conciliation proceedings | bringing about a settlement | investigate the dispute | fair and amicable settlement | settlement is arrived at | send a report | memorandum of the settlement | no such settlement arrived at | send... a full report | reasons settlement not arrived at | reference to a Board | Labour Court | Tribunal | National Tribunal | report submitted within fourteen days",,,,,,,
,," Dear Client,Transfer, promotion, and placement are the normal incidents of service life. Regardless of the sector or character of establishments, either public or private, the recruitment, transfer, promotion, placement, or rationalisation of manpower is processed following its standing HR policy, and also a prerogative of the establishment. In the absence of a vacancy or the required expertise, even if you are advised by the doctor to avoid night shift, considering your health issue, management cannot be obliged/compelled to place you in the day shift. Only in case of deviation/discrimination/mala fide in the HR policy or rules, if it appears on the face of the record, the Tribunal/Labour Court or High Court may entertain an appeal/petition challenging the well-established policy of the organization. Otherwise, a petition may be rejected at the stage of admission for lack of merit. Hence, it is suggested to consult with an Advocate experienced in service matters for tailored advice to navigate the issue in the right way.","Transfer, promotion, and placement | incidents of service | HR policy | prerogative of the establishment | absence of a vacancy | advised by doctor to avoid night shift | health issue | management cannot be obliged | place you in day shift | deviation/discrimination/mala fide | Tribunal/Labour Court | High Court | challenging... policy | petition may be rejected | consult with an Advocate | experienced in service matters",,,,,,,
"14 (Expansion, Correction)","Hi sir, I am working in an organisation from past 7months in night shift. Recently I am diagnosed with a health issue, wherein the doctor advised me avoid night shift and change to day shift. I request the HR with the relevant medical advice note. But the HR denied and ask me to resign the job. What action can I take against them for forcibly asking me to resign even though I'm medically fit to work.( Bangalore, Karnataka )","Dear Client,If your employer is pressuring you to resign due to a medical condition requiring a shift change, despite you being medically fit for other duties, do not resign. Immediately document all communications, especially HR's denial of your shift change and their demand for your resignation, as this constitutes ""constructive dismissal"" under law.Formally communicate to HR, in writing, that you are not resigning, reiterate your medical fitness for day shift, and state that any forced resignation will be considered unlawful termination. Then, seek legal counsel from an employment lawyer to understand your rights under the Industrial Disputes Act or Shops and Establishments Act, and explore options like filing a complaint with the Labour Commissioner or pursuing legal action for unlawful termination, potentially seeking reinstatement or compensation.",pressuring you to resign | medical condition | requiring a shift change | medically fit for other duties | do not resign | document all communications | denial of shift change | demand for resignation | constructive dismissal | Formally communicate... in writing | not resigning | medical fitness for day shift | forced resignation... unlawful termination | seek legal counsel | employment lawyer | Industrial Disputes Act | Shops and Establishments Act | complaint with Labour Commissioner | legal action | unlawful termination | seeking reinstatement | seeking compensation,,"Precision: 0.0
Recall: 0.0
F1-Score: 0.0","Precision: 0.0
Recall: 0.0
F1-Score: 0.0",,,,
,,"Dear Client,Regardless of the sector or character of establishments, either public or private, the recruitment, transfer, promotion, placement, or rationalisation of manpower is processed following its standing HR policy, and also a prerogative of the establishment. In the absence of a vacancy or the required expertise, even if you are advised by the doctor to avoid night shift, considering your health issue, management cannot be obliged/compelled to place you in the day shift. Only in case of deviation/discrimination/mala fide in the HR policy or rules, if it appears on the face of the record, the Tribunal/Labour Court or High Court may entertain an appeal/petition challenging the well-established policy of the organization. Otherwise, a petition may be rejected at the stage of admission for lack of merit. Hence, it is suggested to consult with an Advocate experienced in service matters for tailored advice to navigate the issue in the right way.","recruitment, transfer, promotion | HR policy | prerogative of the establishment | absence of a vacancy | advised by the doctor | avoid night shift | health issue | management cannot be obliged | place you in the day shift | deviation/discrimination/mala fide | HR policy or rules | Tribunal/Labour Court | High Court | challenging the... policy | petition may be rejected | lack of merit | consult with an Advocate | service matters",,,,,,,
15 (Conflicting),"Transfer fees of 25 thousand rupees to society is payable or not? To the family members such as uncle and nephew giftdeed without any money consideration of SRA flat as per bye law and cooperative society Act.( Mumbai suburban, Maharashtra )","Dear Client,In most cases, a cooperative housing society cannot charge a transfer fee of Rs. 25,000/- rupees for a gift deed of an SRA flat between family members like an uncle and nephew, especially when there's no money involved.According to the Maharashtra Cooperative Societies Act and its model bye-laws, such transfers within a defined family which often includes close relatives, though ""uncle and nephew"" might require checking your specific bye-laws are usually subject only to nominal administrative charges, typically around Rs. 600 for membership and entrance fees. The Rs. 25,000 cap is generally meant for sales to third parties, not for genuine family gifts. If the society insists on this higher fee, their demand is likely not legally valid, and you have grounds to challenge it with the Deputy Registrar of Cooperative Societies.","cooperative housing society | cannot charge transfer fee | Rs. 25,000/- rupees | gift deed | SRA flat | between family members | uncle and nephew | no money involved | Maharashtra Cooperative Societies Act | model bye-laws | transfers within defined family | nominal administrative charges | Rs. 600 for membership | entrance fees | Rs. 25,000 cap... for sales | demand... not legally valid | challenge it | Deputy Registrar of Cooperative Societies",,"Precision: 0.125
Recall: 0.056
F1-Score: 0.077","Precision: 0.056
Recall: 0.125
F1-Score: 0.077",,,,
,,"Dear Sir,Many housing societies within the consent of all the members of such Society charging transfer fee. It seems nobody challenged such policy of RWA. You may go with the policy otherwise you have to face so many hurdles in enjoying the property.",housing societies | consent of all the members | charging transfer fee | nobody challenged such policy | policy of RWA | go with the policy | face so many hurdles | enjoying the property,,,,,,,
16 (Conflicting),"Some flat owners in your society have extended their balconies.
 now trying to do the same, but:
 
 My below flat owner is not giving you permission.
 
 Because he didnâ€™t get permission from his own below flat owner when he tried, he's now denying yours.
 
 This is a chain reaction of denial, even though others in the society have already extended theirs.( Pune, Maharashtra )","Dear Client,Your query lacks information. It is not transpired from the query whether the society is registered under the relevant Act or not. However, be informed that any alteration or extension in the existing structure of any building or apartment mandatorily requires permission from the Municipal Authority and the Society. In the given scenario, you can escalate your grievance first to the executive committee of the society, failing which, before the Registrar of Dy. Registrar of the Cooperative Societies, failing which, before the Cooperative Court and/or Civil Court for a resolution or relief in the matter. |||  |||",society registered? | relevant Act | alteration or extension | existing structure | mandatorily requires permission | Municipal Authority | the Society | escalate your grievance | executive committee | Registrar of Dy. Registrar | Cooperative Societies | Cooperative Court | Civil Court,,"Precision: 0.0
Recall: 0.0
F1-Score: 0.0","Precision: 0.0
Recall: 0.0
F1-Score: 0.0","Precision: 0.05
Recall: 0.077
F1-Score: 0.061","Precision: 0.077
Recall: 0.3
F1-Score: 0.122","Precision: 0.05
Recall: 0.167
F1-Score: 0.077","Precision: 0.167
Recall: 0.05
F1-Score: 0.077"
,,"Dear Sir,Normally it will be against building rules. Anyhow you may extend your balcony directly without seeking permission from any other resident of your flat owners. If any body objects then files civil case against them and continue your extension work.",against building rules | extend your balcony | without seeking permission | any body objects | files civil case | continue your extension work,,,,,,,
,,"Dear Client,Extending your balcony in a housing society requires navigating both society bye-laws and municipal regulations, a process complicated by your below flat owner's denial due to their own past experience.At this juncture your step should be to formally apply to your society's managing committee, referencing their bye-laws, providing a proposed design with a structural engineer's report if possible, and highlighting that other residents have already undertaken similar extensions to press for consistent policy application. If the society approves, you must then obtain permission from the Municipal Corporation, a separate and legally binding requirement that involves submitting detailed building plans and securing various clearances.If direct negotiation with your neighbor or society mediation fails, and assuming you have legitimate society and municipal approvals, legal recourse may be an option, but it should be considered a last resort given its complexity.",Extending your balcony | housing society | society bye-laws | municipal regulations | below flat owner's denial | apply to society's managing committee | proposed design | structural engineer's report | other residents... similar extensions | consistent policy application | society approves | permission from Municipal Corporation | legally binding requirement | submitting detailed building plans | securing various clearances | direct negotiation... fails | society mediation fails | society and municipal approvals | legal recourse | last resort,,,,,,,